,VICTIMA_PERUANA,EDAD_VICTIMA,VICTIMA_GESTANDO,N_HIJOS,ESTADO_CIVIL_VICTIMA,ESTUDIA,TRABAJA_VICTIMA,TIENE_SEGURO,DIST_DOMICILIO
9640,1,18,0,0,1,0,0,1,Lurigancho
9641,1,36,0,1,1,0,1,1,Lurigancho
9642,1,17,0,0,1,1,0,1,Lurigancho
9643,1,17,0,0,1,1,0,1,Lurigancho
9644,1,19,0,0,1,0,0,1,Lurigancho
9645,1,23,0,0,1,1,0,1,Lurigancho
9646,1,4,0,0,1,1,0,1,Lurigancho
9647,1,39,0,1,1,0,1,1,Lurigancho
9651,1,36,0,1,1,0,0,1,Lurigancho
9652,1,15,0,0,1,1,0,1,Lurigancho
9653,1,13,0,0,1,1,0,1,Lurigancho
9654,1,44,0,1,1,0,0,1,Lurigancho
9655,1,39,0,1,1,1,0,1,Lurigancho
9658,1,61,0,0,1,0,0,1,Lurigancho
9663,1,12,0,0,1,1,0,1,Lurigancho
9664,1,37,0,1,1,0,1,1,Lurigancho
9665,1,5,0,0,1,1,0,1,Lurigancho
9666,1,40,0,1,1,0,0,1,Lurigancho
9668,1,61,0,1,1,0,0,1,Lurigancho
9669,1,74,0,1,1,0,0,1,Lurigancho
9670,1,43,0,1,1,0,1,1,Lurigancho
9671,1,16,0,0,1,0,1,1,Lurigancho
9672,1,11,0,0,1,1,0,1,Lurigancho
9673,1,8,0,0,1,1,0,1,Lurigancho
9674,1,30,0,1,1,0,0,1,Lurigancho
9675,1,59,0,1,1,0,0,1,Lurigancho
9676,1,73,0,1,1,0,0,1,Lurigancho
9677,1,52,0,0,1,0,0,1,Lurigancho
9678,1,16,0,0,1,1,0,0,Lurigancho
9679,1,67,0,0,1,0,0,1,Lurigancho
9680,1,13,0,0,1,1,0,0,Lurigancho
9681,1,3,0,0,1,0,0,1,Lurigancho
9682,1,1,0,0,1,0,0,1,Lurigancho
9683,1,1,0,0,1,0,0,1,Lurigancho
9684,1,1,0,0,1,0,0,1,Lurigancho
9685,1,19,1,1,1,0,0,1,Lurigancho
9687,1,16,1,0,1,1,0,1,Lurigancho
9689,1,29,0,1,1,0,0,1,Lurigancho
9693,1,21,0,1,1,0,0,1,Lurigancho
